Entrez,Gene,VEGAS_AD1,VEGAS_AD2,Tribe-DO-Status,AD1-NetWAS-RankSum,AD2-NetWAS-RankSum
6774.0,STAT3,0.36,0.325,0.0,16097147.0,1770347.5
5076.0,PAX2,0.88,0.641,0.0,16197502.0,7031127.0
81853.0,TMEM14B,0.05415,0.746,0.0,15638613.5,12555817.5
10021.0,HCN4,0.828,0.253,0.0,16290023.0,8055974.5
7738.0,ZNF184,0.465,0.661,0.0,15896835.0,4468593.5
57498.0,KIDINS220,0.613,0.344,0.0,15895104.0,11626558.5
10313.0,RTN3,0.207,0.887,0.0,14765052.5,5293519.5
23481.0,PES1,0.59,0.554,0.0,15573804.5,15755640.5
4681.0,NBL1,0.66,0.251,0.0,15886671.0,6650562.5
51250.0,C6orf203,0.558,0.287,0.0,15843321.5,12860136.5
200186.0,CRTC2,0.175,0.98,0.0,15577426.5,14940337.0
6289.0,SAA2,0.08089,0.07351,0.0,15392834.0,9373307.5
9497.0,SLC4A7,0.911,0.348,0.0,16015071.5,8192261.0
11179.0,ZNF277,0.113,0.467,0.0,16029957.5,7232040.5
1650.0,DDOST,0.306,0.924,0.0,14212598.5,1643850.5
5192.0,PEX10,0.08756,0.546,0.0,15251379.0,5520531.0
4144.0,MAT2A,0.62,0.327,0.0,16088950.5,5029404.0
9869.0,SETDB1,0.134,0.836,0.0,15732781.5,10483142.5
5168.0,ENPP2,0.609,0.6,0.0,16034727.0,6748725.0
33.0,ACADL,0.629,0.517,0.0,16057080.0,11325199.0
23369.0,PUM2,0.915,0.423,0.0,15818644.0,494524.0
5202.0,PFDN2,0.71,0.473,0.0,15685706.0,7119063.0
10016.0,PDCD6,0.168,0.883,0.0,15767635.5,8274733.0
25842.0,ASF1A,0.141,0.621,0.0,14380653.5,4351318.5
26468.0,LHX6,0.728,0.562,0.0,16054813.5,15217915.5
9221.0,NOLC1,0.78,0.599,0.0,12931495.5,2894321.0
25800.0,SLC39A6,0.07592,0.03191,0.0,15890265.5,3031814.5
5324.0,PLAG1,0.981,0.156,0.0,15530425.0,6956430.5
1212.0,CLTB,0.03134,0.674,0.0,16020127.0,12215320.0
6583.0,SLC22A4,0.128,0.05522,0.0,16202220.5,10884471.5
6866.0,TAC3,0.957,0.892,0.0,16092023.5,11179365.0
4953.0,ODC1,0.03048,0.531,0.0,15668013.0,2178202.5
55656.0,INTS8,0.868,0.369,0.0,14473484.5,330151.5
1847.0,DUSP5,0.59,0.582,0.0,15960684.5,13208719.5
9319.0,TRIP13,0.474,0.288,0.0,15693845.0,13877249.0
2104.0,ESRRG,0.172,0.838,0.0,16126936.5,1036658.5
112812.0,FDX1L,0.792,0.06668,0.0,15745369.5,12214804.0
23389.0,MED13L,0.878,0.708,0.0,12157201.0,2848701.0
2067.0,ERCC1,0.343,0.185,0.0,14808925.5,3658219.5
2114.0,ETS2,0.194,0.232,0.0,15319093.5,6239363.0
157695.0,C8orf42,0.887,0.779,0.0,15681039.0,2132688.0
29110.0,TBK1,0.05983,0.796,0.0,15390701.5,4786004.5
5883.0,RAD9A,0.373,0.125,0.0,15385971.0,1397897.0
1104.0,RCC1,0.118,0.759,0.0,14637547.5,7137121.5
6590.0,SLPI,0.374,0.279,0.0,15698033.0,8023697.5
9556.0,C14orf2,0.877,0.479,0.0,16156146.0,6480052.5
4026.0,LPP,0.264,0.391,0.0,15679620.0,803206.5
613.0,BCR,0.444,0.896,0.0,14334415.5,4303843.5
7532.0,YWHAG,0.996,0.121,0.0,15791581.0,8059981.0
11261.0,CHP,0.657,0.1056,0.0,15450294.0,1099182.5
79675.0,FASTKD1,0.718,0.314,0.0,16083532.5,4519785.5
9943.0,OXSR1,0.121,0.505,0.0,16016605.0,1430000.0
27089.0,UQCRQ,0.794,0.449,0.0,14748040.5,6496189.0
9362.0,CPNE6,0.176,0.73,0.0,15611734.0,10122796.5
85453.0,TSPYL5,0.557,0.591,0.0,16044478.0,9536947.5
5396.0,PRRX1,0.162,0.641,0.0,16205741.0,7140611.5
23443.0,SLC35A3,0.964,0.64,0.0,14507272.0,7297220.0
9711.0,KIAA0226,0.591,0.716,0.0,16090409.5,5456488.0
5026.0,P2RX5,0.94,0.638,0.0,15887333.0,14189249.5
56204.0,KIAA1370,0.479,0.809,0.0,14171112.0,3265454.5
291.0,SLC25A4,0.938,0.674,0.0,13959477.5,11875655.0
90019.0,SYT8,0.688,0.587,0.0,16170592.0,8660794.5
64093.0,SMOC1,0.332,0.479,0.0,15458763.5,13172509.5
4647.0,MYO7A,0.764,0.608,0.0,15727651.5,6115620.5
8896.0,BUD31,0.544,0.288,0.0,15437778.5,4786083.5
3164.0,NR4A1,0.004431,0.131,0.0,14661385.5,13880212.5
348.0,APOE,2e-06,0.00348,1.0,14485467.0,10696748.5
8140.0,SLC7A5,0.507,0.719,0.0,15590835.0,15962698.0
55003.0,PAK1IP1,0.992,0.62,0.0,14892496.5,2500376.0
7803.0,PTP4A1,0.549,0.815,0.0,15691990.0,1001806.0
9522.0,SCAMP1,0.743,0.803,0.0,14928407.5,2836281.0
6670.0,SP3,0.246,0.925,0.0,13688396.5,1784664.0
10606.0,PAICS,0.563,0.565,0.0,14184981.0,3751333.0
10513.0,APPBP2,0.197,0.501,0.0,15537545.0,3282414.5
1854.0,DUT,0.13,0.454,0.0,15541888.5,7103201.5
9208.0,LRRFIP1,0.124,0.418,0.0,15649228.5,9967935.5
100131827.0,ZNF717,0.201,0.563,0.0,15069390.0,5939491.0
9796.0,PHYHIP,0.687,0.24,0.0,15178890.0,11706005.0
9326.0,ZNHIT3,0.577,0.861,0.0,14192163.5,13341623.0
347853.0,TBX10,0.993,0.01629,0.0,15421436.0,5321213.0
5999.0,RGS4,0.42,0.287,0.0,15226059.0,1775907.5
320.0,APBA1,0.839,0.799,0.0,15770139.0,4579265.0
51170.0,HSD17B11,0.851,0.957,0.0,15462025.0,2724850.5
8546.0,AP3B1,0.08432,0.462,0.0,16259038.5,13048250.0
8099.0,CDK2AP1,0.06485,0.606,0.0,15565569.5,5620563.5
494470.0,RNF165,0.761,0.04571,0.0,15965503.5,4245658.0
23370.0,ARHGEF18,0.344,0.794,0.0,14041636.5,6053795.5
123879.0,DCUN1D3,0.737,0.227,0.0,16153538.5,10312071.5
445815.0,PALM2-AKAP2,0.46,0.66,0.0,15529267.0,7898247.5
8899.0,PRPF4B,0.942,0.10547,0.0,15122953.5,1618719.0
1628.0,DBP,0.704,0.218,0.0,14851304.5,2501520.0
7866.0,IFRD2,0.22,0.814,0.0,16055055.5,10102278.0
51619.0,UBE2D4,0.265,0.573,0.0,15812487.0,13812783.5
8313.0,AXIN2,0.377,0.141,0.0,15875770.5,5232199.5
4277.0,MICB,0.717,0.581,0.0,16009598.5,4397230.5
2354.0,FOSB,0.395,0.385,0.0,14935857.0,8823482.0
51714.0,SELT,0.368,0.08897,0.0,13090156.5,1741983.0
58517.0,RBM25,0.614,0.71,0.0,10517313.5,1659107.0
56947.0,MFF,0.09065,0.104,0.0,15568752.5,5240012.5
57678.0,GPAM,0.164,0.809,0.0,15955030.5,8844638.5
2806.0,GOT2,0.805,0.277,0.0,15307538.0,5691527.0
57616.0,TSHZ3,0.933,0.358,0.0,15954003.0,11613385.0
23560.0,GTPBP4,0.888,0.465,0.0,15060668.0,1572109.5
7323.0,UBE2D3,0.648,0.995,0.0,14643524.5,351373.5
11258.0,DCTN3,0.764,0.487,0.0,13944364.5,4339043.0
254173.0,TTLL10,0.09329,0.892,0.0,15894183.0,8842111.5
4291.0,MLF1,0.07825,0.05271,0.0,13449334.0,8348525.5
9847.0,KIAA0528,0.756,0.989,0.0,16084277.0,1830544.5
54541.0,DDIT4,0.865,0.445,0.0,16029358.0,13348746.0
283461.0,C12orf40,0.485,0.355,0.0,15992304.0,10947736.5
9815.0,GIT2,0.341,0.667,0.0,15790641.0,15441157.0
6921.0,TCEB1,0.492,0.89,0.0,15438781.5,389563.5
2805.0,GOT1,0.974,0.757,0.0,14307897.0,2196254.0
51373.0,MRPS17,0.849,0.569,0.0,12316375.5,12680398.0
6637.0,SNRPG,0.574,0.342,0.0,14121662.5,6836673.5
3298.0,HSF2,0.669,0.987,0.0,13881868.5,11618492.5
6938.0,TCF12,0.899,0.498,0.0,15847050.0,1147215.0
5075.0,PAX1,0.73,0.649,0.0,15250970.0,10041845.5
81929.0,SEH1L,0.591,0.985,0.0,14245287.5,697400.5
8882.0,ZNF259,0.487,0.536,0.0,15619351.5,10395960.0
2038.0,EPB42,0.838,0.837,0.0,14929820.5,2640762.5
55037.0,PTCD3,0.369,0.398,0.0,14998126.5,1941867.0
7695.0,ZNF136,0.841,0.973,0.0,15350348.5,8443160.5
79728.0,PALB2,0.986,0.03097,0.0,16193344.5,8931219.5
23556.0,PIGN,0.323,0.894,0.0,15519099.5,7476799.5
23026.0,MYO16,0.848,0.528,0.0,13486951.0,9600062.0
23277.0,KIAA0664,0.341,0.957,0.0,15386396.0,3935901.5
8428.0,STK24,0.871,0.453,0.0,11830358.5,6034368.5
266812.0,NAP1L5,0.992,0.591,0.0,15476328.0,4988466.5
84912.0,SLC35B4,0.902,0.304,0.0,15177352.5,6561722.5
10150.0,MBNL2,0.105,0.148,0.0,14100740.5,9563498.5
10613.0,ERLIN1,0.01796,0.481,0.0,16220886.0,5804847.0
8317.0,CDC7,0.884,0.856,0.0,15811235.5,16141313.5
64418.0,TMEM168,0.617,0.894,0.0,14974648.0,9918321.0
63905.0,MANBAL,0.56,0.747,0.0,15746582.5,7803118.0
8694.0,DGAT1,0.759,0.05545,0.0,14325029.0,3369397.0
93081.0,C13orf27,0.817,0.479,0.0,15227817.0,15775983.5
10827.0,FAM114A2,0.762,0.29,0.0,15320416.0,5845669.0
2017.0,CTTN,0.507,0.963,0.0,15864904.0,5190049.5
213.0,ALB,0.521,0.592,0.0,15313650.0,10281702.0
1595.0,CYP51A1,0.07782,0.98,0.0,15574141.0,7590652.0
5576.0,PRKAR2A,0.85,0.883,0.0,15296739.0,13751385.5
64116.0,SLC39A8,0.03565,0.923,0.0,15739097.5,14702282.0
865.0,CBFB,0.893,0.08043,0.0,14578089.5,3657167.5
6129.0,RPL7,0.985,0.671,0.0,15332275.5,10677438.5
55319.0,C4orf43,0.191,0.44,0.0,15921417.0,5660480.5
123803.0,NTAN1,0.974,0.06803,0.0,14956068.5,5486084.0
22924.0,MAPRE3,0.03509,0.475,0.0,16030685.5,2756603.0
7594.0,ZNF43,0.835,0.615,0.0,15271878.5,13135535.5
6856.0,SYPL1,0.394,0.02633,0.0,15913056.5,15922385.0
440730.0,TRIM67,0.566,0.411,0.0,16066004.0,3534105.0
221662.0,RBM24,0.134,0.813,0.0,15290779.0,6160592.0
5091.0,PC,0.853,0.07804,0.0,15480356.5,9136692.5
10559.0,SLC35A1,0.828,0.782,0.0,15219740.0,2728767.5
2256.0,FGF11,0.263,0.06692,0.0,15811660.0,7361512.5
51660.0,BRP44L,0.38,0.463,0.0,16094153.0,804760.0
54769.0,DIRAS2,0.704,0.325,0.0,15904489.0,9687355.0
3782.0,KCNN3,0.997,0.10415,0.0,16073917.0,9004074.5
845.0,CASQ2,0.378,0.58,0.0,15640531.5,5454889.5
56994.0,CHPT1,0.687,0.56,0.0,15829701.5,9993299.0
5315.0,PKM2,0.804,0.25,0.0,14608682.5,15639851.5
57448.0,BIRC6,0.165,0.923,0.0,14182672.5,3507989.0
1837.0,DTNA,0.187,0.423,0.0,15065105.5,3320187.0
3454.0,IFNAR1,0.08964,0.402,0.0,15428669.0,6844634.0
1615.0,DARS,0.161,0.267,0.0,15801508.0,9095570.0
5903.0,RANBP2,0.505,0.05957,0.0,15830196.5,1500321.0
6689.0,SPIB,0.979,0.708,0.0,14707297.0,7424364.0
81573.0,ANKRD13C,0.615,0.07084,0.0,15817716.5,8901806.5
23291.0,FBXW11,0.922,0.875,0.0,15184266.5,2236850.5
7372.0,UMPS,0.606,0.858,0.0,15772006.0,12287477.0
785.0,CACNB4,0.253,0.995,0.0,15867279.5,12320685.5
10471.0,PFDN6,0.33,0.958,0.0,11393426.5,4229233.5
1327.0,COX4I1,0.349,0.197,0.0,11752793.0,231855.0
23114.0,NFASC,0.66,0.993,0.0,15964529.0,7528769.5
302.0,ANXA2,0.882,0.548,0.0,15723340.5,1662465.0
9792.0,SERTAD2,0.06591,0.10937,0.0,15743970.5,1377170.0
2099.0,ESR1,0.839,0.964,0.0,15935684.5,2393837.0
25791.0,NGEF,0.526,0.977,0.0,14608500.5,8532400.0
79109.0,MAPKAP1,0.835,0.885,0.0,15996588.0,3079441.0
9520.0,NPEPPS,0.838,0.25,0.0,16129672.0,2441143.5
5662.0,PSD,0.427,0.319,0.0,15985185.0,12437701.5
3516.0,RBPJ,0.429,0.914,0.0,15064497.5,7126635.5
2297.0,FOXD1,0.797,0.134,0.0,14345647.5,1933946.5
3795.0,KHK,0.02387,0.539,0.0,15284649.5,1540015.0
2897.0,GRIK1,0.975,0.08539,0.0,15674100.0,7850394.5
84166.0,NLRC5,0.829,0.514,0.0,15900737.5,5256517.5
144402.0,CPNE8,0.34,0.441,0.0,13198636.5,14549177.5
5976.0,UPF1,0.723,0.135,0.0,13545672.0,13891107.0
79573.0,TTC13,0.241,0.933,0.0,14367646.0,1526545.0
11035.0,RIPK3,0.815,0.358,0.0,15628008.0,10382263.0
596.0,BCL2,0.00496,0.577,0.0,15662799.5,6458250.0
8784.0,TNFRSF18,0.07454,0.801,0.0,15862348.0,10643643.0
54664.0,TMEM106B,0.598,0.343,0.0,13099462.5,5510885.0
22809.0,ATF5,0.524,0.647,0.0,15818987.0,3588066.5
2280.0,FKBP1A,0.805,0.643,0.0,15670184.0,344421.0
344838.0,PAQR9,0.07956,0.869,0.0,15877620.5,7957925.0
4528.0,MTIF2,0.695,0.06843,0.0,15827475.5,8256729.0
11329.0,STK38,0.875,0.192,0.0,14333695.5,1636718.5
7570.0,ZNF22,0.147,0.08533,0.0,14200944.5,6160763.5
55884.0,WSB2,0.483,0.381,0.0,13016995.5,3078336.0
7091.0,TLE4,0.846,0.367,0.0,15893692.5,4949629.5
80222.0,TARS2,0.149,0.127,0.0,15618256.0,15373505.5
11169.0,WDHD1,0.105,0.754,0.0,15277477.0,6015846.5
84171.0,LOXL4,0.952,0.802,0.0,14335474.0,2760935.5
23204.0,ARL6IP1,0.541,0.359,0.0,11628774.5,5701665.0
23347.0,SMCHD1,0.124,0.22,0.0,15818755.0,5861711.0
55763.0,EXOC1,0.662,0.482,0.0,15300619.0,7742353.0
10468.0,FST,0.292,0.643,0.0,15626402.5,12406127.0
3146.0,HMGB1,0.844,0.863,0.0,15626772.0,479077.0
5756.0,TWF1,0.718,0.63,0.0,14090085.0,15146700.0
90249.0,UNC5A,0.585,0.778,0.0,15444508.0,1616963.5
55769.0,ZNF83,0.561,0.91,0.0,14498560.5,6693297.5
57553.0,MICAL3,0.852,0.244,0.0,14920767.5,9419623.5
83871.0,RAB34,0.817,0.5,0.0,14911289.5,8155729.0
84669.0,USP32,0.215,0.578,0.0,14941132.5,1717346.5
6813.0,STXBP2,0.99,0.137,0.0,14972454.5,4268645.0
23568.0,ARL2BP,0.283,0.02749,0.0,15620571.0,15593430.0
84231.0,TRAF7,0.321,0.706,0.0,15388827.5,14982242.0
135293.0,PM20D2,0.295,0.914,0.0,15034235.5,11484434.0
4504.0,MT3,0.756,0.183,0.0,14646668.0,8065514.0
9531.0,BAG3,1.0,0.485,0.0,15036724.5,8490241.0
84913.0,ATOH8,0.84,0.791,0.0,14671271.0,12806155.5
4234.0,METTL1,0.205,0.834,0.0,14722287.0,11607071.5
123041.0,SLC24A4,0.5,0.481,0.0,15255344.5,4112409.0
51016.0,FAM158A,0.03272,0.74,0.0,15595163.5,15261153.5
54906.0,C10orf18,0.242,0.982,0.0,14032932.0,450421.0
57758.0,SCUBE2,0.33,0.471,0.0,14970396.0,8681128.5
22882.0,ZHX2,0.513,0.124,0.0,15480384.0,3661591.5
10959.0,TMED2,0.588,0.01839,0.0,14716455.0,1594559.0
7378.0,UPP1,0.694,0.996,0.0,14774121.0,2528353.0
148103.0,ZNF599,0.873,0.552,0.0,15418219.0,12493492.0
9167.0,COX7A2L,0.02878,0.892,0.0,12495158.0,320453.0
55893.0,ZNF395,0.274,0.718,0.0,15505075.5,2446730.5
617.0,BCS1L,0.392,0.202,0.0,15196009.5,13306231.0
170622.0,COMMD6,0.706,0.421,0.0,15736439.5,10343556.0
3184.0,HNRNPD,0.105,0.355,0.0,13584250.0,9918184.0
51020.0,HDDC2,0.164,0.477,0.0,13366409.0,14684717.0
26517.0,TIMM13,0.07308,0.37,0.0,15733296.0,6712526.5
64215.0,DNAJC1,0.243,0.702,0.0,11388542.0,2709824.5
51611.0,DPH5,0.637,0.653,0.0,15585589.5,9773926.5
100101267.0,POM121C,0.538,0.165,0.0,14791500.5,2290635.5
7850.0,IL1R2,0.49,0.649,0.0,15327192.5,2404079.5
10905.0,MAN1A2,0.338,0.577,0.0,9687869.5,1903648.0
83690.0,CRISPLD1,0.838,0.739,0.0,15202688.5,12850156.5
5887.0,RAD23B,0.154,0.0377,0.0,15951360.0,648081.5
6402.0,SELL,0.667,0.691,0.0,15360370.0,9656422.0
2648.0,KAT2A,0.885,0.705,0.0,13714988.0,6238889.5
90007.0,MIDN,0.472,0.644,0.0,15859721.5,11125590.5
3696.0,ITGB8,0.883,0.635,0.0,15206227.0,13415511.5
57092.0,PCNP,0.143,0.18,0.0,15693848.0,1771301.5
3315.0,HSPB1,0.985,0.289,0.0,10245274.5,10394035.0
4713.0,NDUFB7,0.541,0.904,0.0,14762053.5,7532411.0
23246.0,BOP1,0.401,0.266,0.0,14304072.5,8011500.5
6443.0,SGCB,0.325,0.443,0.0,15746534.5,7787992.0
84289.0,ING5,0.574,0.518,0.0,14949193.5,2975732.0
79668.0,PARP8,0.05633,0.07916,0.0,14248519.5,2017713.0
6176.0,RPLP1,0.219,0.286,0.0,10748836.0,5919253.0
57575.0,PCDH10,0.749,0.06079,0.0,16239514.0,1217221.5
200081.0,TXLNA,0.938,0.285,0.0,15801721.0,10826484.0
164.0,AP1G1,0.993,0.615,0.0,14008635.5,3730809.0
1627.0,DBN1,0.973,0.574,0.0,11566589.5,3215157.0
6928.0,HNF1B,0.359,0.848,0.0,15764349.0,7996655.5
6915.0,TBXA2R,0.999,0.02817,0.0,13505492.5,9669115.0
575.0,BAI1,0.782,0.298,0.0,15174102.5,12703784.5
63908.0,NAPB,0.09092,0.857,0.0,15846475.5,9645058.5
4237.0,MFAP2,0.691,0.08367,0.0,14643396.0,2604641.0
23325.0,KIAA1033,0.484,0.904,0.0,14880871.5,7923924.0
26519.0,TIMM10,0.573,0.166,0.0,11539293.5,4840981.5
158326.0,FREM1,0.08882,0.538,0.0,15520196.0,9224922.5
26057.0,ANKRD17,0.64,0.454,0.0,10208357.0,7606168.5
51068.0,NMD3,0.92,0.64,0.0,14967445.0,6403110.0
8877.0,SPHK1,0.49,0.9,0.0,15364164.0,9215802.0
2902.0,GRIN1,0.244,0.06572,0.0,15645450.5,7678268.0
800.0,CALD1,0.002788,0.619,0.0,14667064.5,3985299.5
10797.0,MTHFD2,0.691,0.222,0.0,11990137.5,12658394.5
5438.0,POLR2I,0.101,0.643,0.0,11613377.0,7396708.0
5395.0,PMS2,0.213,0.803,0.0,14837541.5,2424025.5
6275.0,S100A4,0.466,0.391,0.0,15681749.0,14286881.0
2995.0,GYPC,0.638,0.567,0.0,15090558.0,10779258.5
9703.0,KIAA0100,0.952,0.37,0.0,15957627.0,6234920.5
2059.0,EPS8,0.333,0.711,0.0,12125104.0,3089722.5
92259.0,MRPS36,0.441,0.813,0.0,14167036.5,10995540.0
10785.0,WDR4,0.245,0.467,0.0,13150711.0,9103078.5
57532.0,NUFIP2,0.909,0.211,0.0,13481970.0,792560.0
