Entrez,Gene,VEGAS_AD1,VEGAS_AD2,Tribe-DO-Status,AD1-NetWAS-RankSum,AD2-NetWAS-RankSum
56138.0,PCDHA11,0.0027,0.04733,0.0,16328997.0,2319123.0
56140.0,PCDHA8,0.00288,0.07529,0.0,16329844.0,3084682.0
56136.0,PCDHA13,0.0032,0.038,0.0,16328969.0,6679929.0
56141.0,PCDHA7,0.00307,0.08902,0.0,16327526.0,2766353.0
56134.0,PCDHAC2,0.00461,0.04344,0.0,16320813.5,5607256.5
56147.0,PCDHA1,0.00352,0.113,0.0,16326102.0,2083140.5
56144.0,PCDHA4,0.00366,0.107,0.0,16326349.0,2135167.5
56137.0,PCDHA12,0.003,0.0417,0.0,16326412.0,6057508.5
56139.0,PCDHA10,0.002842,0.05397,0.0,16319792.0,6992543.0
10971.0,YWHAQ,0.884,0.283,0.0,16305993.0,101709.5
56146.0,PCDHA2,0.00323,0.104,0.0,16323100.5,4983316.0
56135.0,PCDHAC1,0.00348,0.0336,0.0,16319703.0,8563561.5
23512.0,SUZ12,0.954,0.218,0.0,16274409.0,8646180.0
25909.0,AHCTF1,0.124,0.787,0.0,16280632.0,4592477.0
9752.0,PCDHA9,0.00293,0.06911,0.0,16278469.0,4988541.0
1454.0,CSNK1E,0.728,0.819,0.0,15989617.5,9160640.5
4661.0,MYT1,0.02381,0.324,0.0,16289248.0,6187995.0
7572.0,ZNF24,0.567,0.807,0.0,16208941.0,6729446.5
9901.0,SRGAP3,0.706,0.395,0.0,16256729.0,2070335.5
9639.0,ARHGEF10,0.125,0.627,0.0,16214079.5,4764239.0
8717.0,TRADD,0.922,0.145,0.0,15935579.5,4901527.5
4973.0,OLR1,0.421,0.833,0.0,16236144.0,4357372.0
56143.0,PCDHA5,0.00314,0.10123,0.0,16312129.0,2031456.0
56145.0,PCDHA3,0.00308,0.112,0.0,16313862.5,1500765.0
7067.0,THRA,0.625,0.521,0.0,16240770.5,7376291.0
6812.0,STXBP1,0.509,0.489,0.0,15975325.5,8842265.0
5878.0,RAB5C,0.845,0.801,0.0,16120346.0,5718832.0
9862.0,MED24,0.532,0.422,0.0,15959811.5,8328669.0
3678.0,ITGA5,0.72,0.991,0.0,15800811.5,7459211.0
51727.0,CMPK1,0.13,0.523,0.0,16194709.5,2838631.0
6657.0,SOX2,0.09235,0.576,0.0,16302263.0,15563202.0
55425.0,KIAA1704,0.542,0.09997,0.0,16187949.0,11859805.5
6574.0,SLC20A1,0.805,0.10573,0.0,16226509.0,2642876.5
858.0,CAV2,0.856,0.634,0.0,16160407.5,4105764.5
894.0,CCND2,0.219,0.975,0.0,15000723.0,14802017.5
22889.0,KIAA0907,0.531,0.658,0.0,15642071.0,5606933.0
56934.0,CA10,0.765,0.313,0.0,16078158.5,1822020.0
10262.0,SF3B4,0.866,0.792,0.0,16077670.5,7227194.5
665.0,BNIP3L,0.14,0.595,0.0,15620849.0,1730472.5
8927.0,BSN,0.912,0.797,0.0,16196045.5,5612997.5
56142.0,PCDHA6,0.00302,0.09282,0.0,16306798.0,10063199.0
5048.0,PAFAH1B1,0.272,0.821,0.0,16157141.0,13307940.5
57670.0,KIAA1549,0.992,0.874,0.0,16204281.5,13427649.5
2113.0,ETS1,0.381,0.391,0.0,16281670.5,9684858.0
51510.0,CHMP5,0.881,0.06572,0.0,15594817.5,1580695.0
23040.0,MYT1L,0.295,0.418,0.0,16257501.5,5635069.0
22841.0,RAB11FIP2,0.26,0.509,0.0,13666942.5,2949840.5
56946.0,C11orf30,0.321,0.968,0.0,16131876.5,8737181.0
9759.0,HDAC4,0.03998,0.542,0.0,16241787.0,6665763.5
51042.0,ZNF593,0.287,0.10964,0.0,15923530.5,13583382.0
6284.0,S100A13,0.134,0.941,0.0,14663184.5,7288480.0
351.0,APP,0.761,0.156,1.0,15602527.5,4714315.5
23119.0,HIC2,0.439,0.387,0.0,15987684.5,2581788.0
57144.0,PAK7,0.583,0.628,0.0,16257989.0,5679740.5
91608.0,RASL10B,0.427,0.183,0.0,16064098.0,1978361.0
607.0,BCL9,0.864,0.35,0.0,16185275.0,9703191.0
29855.0,UBN1,0.03748,0.255,0.0,14836779.0,14039140.5
6386.0,SDCBP,0.386,0.342,0.0,14744885.5,10514702.5
355.0,FAS,0.851,0.09643,0.0,15221736.0,7116569.0
8636.0,SSNA1,0.327,0.02871,0.0,15930720.5,15547777.0
23767.0,FLRT3,0.747,0.555,0.0,16159349.0,3399396.0
6861.0,SYT5,0.422,0.05073,0.0,16027781.0,12045147.5
54431.0,DNAJC10,0.01162,0.575,0.0,16021521.0,1930900.0
25822.0,DNAJB5,0.479,0.145,0.0,16197456.5,9381033.0
9472.0,AKAP6,0.829,0.82,0.0,15423573.5,5138725.5
7536.0,SF1,0.558,0.442,0.0,15940742.0,7961912.5
11072.0,DUSP14,0.333,0.236,0.0,16162576.5,8970009.0
55326.0,AGPAT5,0.67,0.926,0.0,14867664.5,4842476.0
2185.0,PTK2B,0.287,0.345,0.0,15921526.5,5215154.5
353.0,APRT,0.369,0.583,0.0,15846513.0,8063261.5
84502.0,JPH4,0.33,0.03705,0.0,16140300.0,11837809.0
6738.0,TROVE2,0.431,0.167,0.0,16252270.5,5226881.5
6827.0,SUPT4H1,0.204,0.118,0.0,15998627.5,5204101.0
3131.0,HLF,0.0071,0.972,0.0,16093176.5,1150620.5
8013.0,NR4A3,0.08012,0.733,0.0,16155819.0,5905962.0
57659.0,ZBTB4,0.117,0.06271,0.0,15960255.0,4851592.0
23236.0,PLCB1,0.795,0.502,0.0,15709076.5,1008596.0
5310.0,PKD1,0.924,0.551,0.0,15922469.0,6806939.0
80055.0,PGAP1,0.5,0.933,0.0,16151676.5,9658423.5
4929.0,NR4A2,0.739,0.873,0.0,16223434.5,7374281.0
57862.0,ZNF410,0.8,0.99,0.0,16128631.5,4388509.5
1948.0,EFNB2,0.912,0.513,0.0,15251855.5,958644.5
23429.0,RYBP,0.21,0.234,0.0,15281415.5,13652425.0
80746.0,TSEN2,0.934,0.683,0.0,16065261.0,10273697.5
83931.0,STK40,0.904,0.25,0.0,15311868.5,12610664.5
23510.0,KCTD2,0.361,0.45,0.0,13759331.0,9670973.5
4637.0,MYL6,0.11125,0.611,0.0,15303829.5,9807050.5
2057.0,EPOR,0.194,0.316,0.0,15061947.5,9701130.5
2171.0,FABP5,0.763,0.631,0.0,16007463.5,7528519.5
10632.0,ATP5L,0.869,0.682,0.0,15495241.5,1996848.5
7311.0,UBA52,0.729,0.176,0.0,15545590.5,6145905.0
10079.0,ATP9A,0.664,0.801,0.0,15842355.5,843039.5
3843.0,IPO5,0.364,0.497,0.0,15422140.5,7060717.0
64094.0,SMOC2,0.82,0.825,0.0,16008515.5,789947.0
29994.0,BAZ2B,0.344,0.774,0.0,15899339.5,8263180.5
55691.0,FRMD4A,0.522,0.854,0.0,16091227.5,3489848.5
8673.0,VAMP8,0.565,0.259,0.0,16155698.0,12767996.0
2194.0,FASN,0.184,0.445,0.0,16147983.5,1134500.5
118427.0,OLFM3,0.879,0.306,0.0,15846612.5,9198500.0
10146.0,G3BP1,0.304,0.434,0.0,16016983.0,3510284.5
4697.0,NDUFA4,0.67,0.279,0.0,15919457.5,2627147.5
5925.0,RB1,0.58,0.588,0.0,15968218.5,1669269.5
8883.0,NAE1,0.225,0.144,0.0,14702887.0,343826.0
1869.0,E2F1,0.415,0.205,0.0,15761365.0,5343484.5
23271.0,CAMSAP1L1,0.63,0.354,0.0,15688282.5,3336346.5
5630.0,PRPH,0.823,0.279,0.0,16011658.0,4887421.0
2915.0,GRM5,0.69,0.961,0.0,16108186.5,10989120.5
64110.0,MAGEF1,0.07756,0.769,0.0,16065866.5,14554762.5
58155.0,PTBP2,0.255,0.09592,0.0,16078887.0,11373637.0
4327.0,MMP19,0.04797,0.922,0.0,16138037.0,2020853.5
8505.0,PARG,0.695,0.08135,0.0,15823550.5,10531437.5
