GWAS	Method	AUC
AD1	NETWAS	0.605363489923
AD1	NETWAS	0.62528233502
AD1	NETWAS	0.54651305307
AD1	NETWAS	0.530776705829
AD1	NETWAS	0.561997706302
AD1	NETWAS	0.574932589778
AD1	NETWAS	0.571179066062
AD1	NETWAS	0.597495316303
AD1	NETWAS	0.531019645265
AD1	NETWAS	0.612170171415
AD1	NETWAS	0.628311417716
AD1	NETWAS	0.692537163168
AD1	NETWAS	0.614746204892
AD1	NETWAS	0.611163395374
AD1	NETWAS	0.566819288078
AD1	NETWAS	0.569202720922
AD1	NETWAS	0.642169908777
AD1	NETWAS	0.613446150614
AD1	NETWAS	0.61034484268
AD1	NETWAS	0.601187557999
AD1	NETWAS	0.595799117539
AD1	NETWAS	0.603975889902
AD1	NETWAS	0.61005594173
AD1	NETWAS	0.639232749111
AD1	NETWAS	0.545374958416
AD1	NETWAS	0.530897081225
AD1	NETWAS	0.594293330765
AD1	NETWAS	0.63670924308
AD1	NETWAS	0.587506347066
AD1	NETWAS	0.467089366694
AD1	NETWAS	0.516515504351
AD1	NETWAS	0.606133892459
AD1	NETWAS	0.643071629927
AD1	NETWAS	0.63138865057
AD1	NETWAS	0.571999807399
AD1	NETWAS	0.510398245583
AD1	NETWAS	0.558530894893
AD1	NETWAS	0.554617600196
AD1	NETWAS	0.553952252552
AD1	NETWAS	0.666358797472
AD1	NETWAS	0.617232503983
AD1	NETWAS	0.633844308651
AD1	NETWAS	0.664135135608
AD1	NETWAS	0.536051336823
AD1	NETWAS	0.528222558787
AD1	NETWAS	0.592078423476
AD1	NETWAS	0.601708455168
AD1	NETWAS	0.512328629209
AD1	NETWAS	0.607952655262
AD1	NETWAS	0.617578309667
AD1	NETWAS	0.592439549665
AD1	NETWAS	0.658926163921
AD1	NETWAS	0.535738360794
AD1	NETWAS	0.588029432879
AD1	NETWAS	0.50641929158
AD1	NETWAS	0.588966172325
AD1	NETWAS	0.631117258768
AD1	NETWAS	0.616871377795
AD1	NETWAS	0.539737012589
AD1	NETWAS	0.625886400644
AD1	NETWAS	0.640193563637
AD1	NETWAS	0.577650885087
AD1	NETWAS	0.618053245321
AD1	NETWAS	0.57009131021
AD1	NETWAS	0.609504403551
AD1	NETWAS	0.56921366414
AD1	NETWAS	0.575549787264
AD1	NETWAS	0.572522893212
AD1	NETWAS	0.5900801919
AD1	NETWAS	0.586908847373
AD1	NETWAS	0.598668429254
AD1	NETWAS	0.562901616094
AD1	NETWAS	0.690352896889
AD1	NETWAS	0.618683574668
AD1	NETWAS	0.617724948786
AD1	NETWAS	0.596131791361
AD1	NETWAS	0.589427976118
AD1	NETWAS	0.60367385709
AD1	NETWAS	0.554241153503
AD1	NETWAS	0.558743193319
AD1	NETWAS	0.5509253585
AD1	NETWAS	0.660399121041
AD1	NETWAS	0.634988969236
AD1	NETWAS	0.6200164586
AD1	NETWAS	0.575873706512
AD1	NETWAS	0.632134978026
AD1	NETWAS	0.680081592632
AD1	NETWAS	0.60426916814
AD1	NETWAS	0.665085006916
AD1	NETWAS	0.568340395357
AD1	NETWAS	0.520724265929
AD1	NETWAS	0.71858421025
AD1	NETWAS	0.560174566211
AD1	NETWAS	0.589476126276
AD1	NETWAS	0.655940854096
AD1	NETWAS	0.548220195052
AD1	NETWAS	0.616759756973
AD1	NETWAS	0.592929805824
AD1	NETWAS	0.598302925779
AD1	NETWAS	0.637479645615
AD1	NETWAS	0.638153747833
AD1	NETWAS	0.622399891443
AD1	NETWAS	0.600583492375
AD1	NETWAS	0.607823525292
AD1	NETWAS	0.653373575193
AD1	NETWAS	0.600217988899
AD1	NETWAS	0.570839826309
AD1	NETWAS	0.630471608916
AD1	NETWAS	0.59211781906
AD1	NETWAS	0.558907341586
AD1	NETWAS	0.594216728241
